PIB per cápita en dólares (ajustados a dólares de 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Banco Mundial (https://data.worldbank.org/indicator/NY.GDP.PCAP.KD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brasil,2611,2754,2851,2786,2800,2787,2894,2935,3139,3350,3606,3917,4281,4764,5032,5168,5565,5703,5846,6095,6500,6079,5988,5680,5854,6179,6505,6602,6472,6553,6156,6111,5975,6165,6420,6585,6624,6743,6663,6596,6788,6789,6905,6896,7206,7352,7561,7937,8259,8169,8702,8966,9057,9248,9215,8814,8455,8498,8582,8622,8229
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428,3584,3657,3773,3892,3997,4166,4412,4889,4784,4427,4093,3837,3810,3893,4022,4253,3675,3840,3537,3718,3937,4260,4519,4850,5231,5629,6045,6460,6289,6428,6605,6694,6693,6797,7075,7341,7599,7860,8235,7921
Burkina Faso,242,248,260,253,255,261,258,276,280,281,276,276,277,273,291,294,313,308,315,320,315,321,343,336,322,340,358,348,359,357,345,367,358,360,355,365,394,408,426,444,440,456,462,484,491,518,534,540,554,554,582,603,623,639,647,653,672,694,719,738,732
Burundi,285,241,258,264,275,279,285,316,307,296,353,357,330,350,343,341,361,394,380,377,371,406,391,395,385,418,420,431,440,434,439,450,445,409,387,351,319,311,322,315,307,306,311,298,303,296,302,302,306,308,313,316,319,325,328,306,294,286,282,278,271
Camboya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579,365,388,399,403,411,452,487,516,539,575,625,696,760,825,867,855,892,940,993,1048,1105,1163,1224,1290,1366,1441,1377
Camerún,932,924,932,946,958,955,976,849,882,902,907,915,915,938,1011,1094,1005,1111,1317,1355,1289,1464,1526,1581,1647,1724,1784,1691,1510,1437,1309,1222,1150,1028,1019,1020,1035,1053,1075,1094,1107,1124,1144,1175,1224,1218,1230,1249,1249,1247,1248,1255,1278,1306,1344,1383,1407,1419,1437,1449,1420
Canadá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31223,31831,32827,34122,34227,35016,36024,37086,38573,39776,42097,42064,40368,41155,42037,42316,42846,43635,43596,43537,44325,44917,45109,42259
Chad,565,562,581,560,536,529,509,504,492,516,515,492,486,435,446,476,480,481,470,362,333,329,339,383,381,452,421,398,445,452,419,441,461,377,401,393,388,397,410,392,375,403,421,465,598,676,657,656,654,659,724,701,738,754,780,776,705,663,659,660,631
Chequia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11627,10301,10238,10234,10528,11219,11711,11663,11633,11806,12312,12735,12960,13428,14070,14978,15949,16739,17047,16161,16506,16762,16607,16594,16951,17830,18247,19139,19685,20202,18985
Chile,3293,3394,3459,3587,3608,3574,3905,3977,4051,4142,4150,4468,4352,4068,4100,3515,3594,3909,4147,4430,4715,4952,4346,4071,4178,4282,4444,4658,4920,5321,5409,5736,6272,6577,6800,7297,7683,8140,8372,8247,8556,8727,8910,9233,9748,10210,10714,11148,11447,11200,11733,12339,12973,13272,13367,13495,13551,13540,13886,13829,12890
China,238,175,164,176,204,233,250,230,215,244,284,295,299,315,316,337,327,347,381,405,431,447,480,524,596,667,716,787,861,884,905,975,1101,1239,1385,1520,1653,1788,1910,2038,2194,2360,2558,2797,3062,3391,3801,4319,4712,5129,5647,6153,6592,7056,7533,8016,8517,9053,9619,10155,10358
Chipre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6173,7484,8708,9350,10197,10667,10756,11269,11800,12669,13127,13458,14253,15322,16305,17143,16829,17927,17622,18280,19452,19384,19616,20561,21348,22382,23018,23603,23929,24798,25630,26394,27155,27447,26182,26020,25466,24217,22682,22514,23408,24805,26014,27161,28211,26503
Colombia,1906,1941,1984,1986,2046,2057,2102,2128,2193,2265,2346,2426,2553,2665,2756,2758,2825,2878,3052,3146,3203,3205,3165,3147,3184,3215,3333,3442,3511,3560,3640,3640,3715,3840,3987,4119,4129,4197,4151,3912,3962,3966,4003,4099,4257,4403,4638,4890,4992,4993,5163,5468,5631,5867,6069,6176,6219,6209,6272,6385,5871
Comoras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1288,1297,1340,1367,1384,1376,1362,1344,1340,1260,1285,1181,1245,1245,1146,1155,1109,1123,1108,1101,1190,1188,1186,1183,1177,1182,1185,1166,1183,1193,1208,1228,1237,1261,1258,1243,1255,1273,1290,1284,1253
Congo,1232,1303,1337,1251,1266,1278,1261,1253,1312,1372,1418,1484,1566,1645,1723,1803,1767,1562,1614,1722,1967,2247,2697,2773,2883,2769,2508,2445,2421,2417,2375,2366,2362,2275,2091,2114,2143,2069,2085,1973,2062,2080,2115,2072,2080,2172,2269,2047,2103,2272,2423,2408,2580,2499,2603,2449,2130,1985,1841,1793,1639
Costa de Marfil,1568,1663,1621,1786,2022,1887,2030,2048,2223,2343,2482,2601,2591,2621,2609,2696,2908,2981,3161,3095,2637,2612,2507,2309,2156,2164,2151,2065,2014,1999,1908,1841,1772,1707,1663,1723,1797,1910,1933,1902,1848,1765,1679,1567,1583,1565,1575,1558,1596,1616,1687,1559,1637,1769,1887,1973,2061,2157,2248,2328,2314
Costa Rica,3600,3534,3591,3701,3704,3874,4012,4110,4328,4439,4644,4831,5097,5357,5516,5492,5648,5993,6201,6336,6214,5911,5333,5338,5612,5503,5656,5772,5817,5989,6041,6019,6404,6684,6811,6921,6846,7053,7389,7539,7678,7805,7940,8158,8395,8606,9110,9725,10053,9838,10237,10559,10945,11090,11355,11643,12005,12376,12574,12755,12127
Croacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7264,7804,8323,8512,8474,8806,9428,9962,10510,10943,11400,11960,12550,12790,11871,11749,11780,11547,11537,11544,11933,12442,13022,13520,14068,12985
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2654,2831,2916,2966,2949,3186,3321,3576,3781,3796,3590,4276,4638,4869,5228,5277,5237,5061,5192,5174,4978,4414,3880,3286,3295,3360,3607,3690,3680,3891,4106,4222,4269,4419,4665,5183,5808,6236,6501,6601,6759,6942,7138,7318,7379,7694,7726,7863,8041,8031,7156
Dinamarca,18107,19128,20056,20025,21707,22520,22952,24031,25212,26705,26928,27545,28464,29451,28985,28480,30092,30559,31143,32269,32074,31869,33068,33949,35382,36784,38536,38585,38561,38787,39295,39740,40384,40254,42257,43310,44315,45570,46412,47622,49242,49470,49542,49600,50792,51836,53687,53936,53345,50457,51173,51644,51567,51832,52405,53255,54556,55736,56563,57553,56202
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384,2509,2653,2795,2901,2993,3111,3102
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,3147,2546,2873,3184,3329,3438,3614,3697,3995,4288,4664,4688,4963,5033,5122,5213,5198,5351,5531,5679,5928,5979,6134,6129,5941,6295,6461,6485,6774,7196,7705,7613,7661,7640,7555,7473,7820,7597,7793,7261,7502,7894,6567
